SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,FirstDuty-第一责任人,Fund-基金,Year-年,Volume-卷,Period-期,PageCount-页码,CLC-中图分类号,ISSN-国际标准刊号,URL-网址,DOI-DOI
期刊,新工科背景下“C程序设计”教学改革探索,贺秋瑞;郭晓;伍临莉;,洛阳师范学院信息技术学院;河南理工大学鹤壁工程技术学院;鹤壁职业技术学院;,科技风,C程序设计;;以学生为中心;;教学改革;;教学效果,根据多年的“C程序设计”教学经验发现，在实际的教学过程中，存在较多问题，如课程学习难度大、学生学习兴趣低、畏难情绪高、学生主动性差、以知识传授为主等，导致教学效果不佳，学生实践能力、动手能力和创新能力无法提高，无法满足企业对学生的基本要求。针对以上问题，提出了以学生为中心的C程序设计的教学改革，力求通过教师与学生的角色转变、教学方式的多样化、教学内容的不断丰富和考核方式更加关注过程等方式提高“C程序设计”的教学效果。,2022-12-20,贺秋瑞;,洛阳师范学院校级教改项目：以学生为中心的《C程序设计》课程教学方式改革与实践(项目编号2019xjgj031);洛阳师范学院校级教改项目：基于OBE教育理念下大学生信息素养能力培养模式研究(项目编号2021xjgj023),2022,,35,99-101,G642;TP312.1-4,1671-7341,,10.19392/j.cnki.1671-7341.202235033
期刊,远程教育环境下如何培养和提高学生的编程能力,张朝霞;,内蒙古开放大学;,内蒙古电大学刊,编程能力;;算法设计;;程序;;调试,计算机编程语言的一个重要教学目标是培养学生的编程能力，但就内蒙古自治区全区历届开放大学期末考试的答题情况来看，学生对编程类课程的学习更多是机械性记忆计算机语言的语法知识，涉及语言的实际运用——编程，多数学生甚至连纸上谈兵都达不到，更谈不上熟练掌握和灵活运用。在分析编程能力构成和与学生编程能力培养提升相关影响因素的基础上，就编程语言课程在远程教学中如何精准教学提高教学效率和教师在教学中发挥主导作用激发与保护学生学习兴趣两个方面有效融合，以实现培养和提高编程能力为教学目标进行了深入探讨。,2022-09-20,张朝霞;,,2022,,05,73-76,TP312-4;G434,1672-3473,,10.16162/j.issn.1672-3473.2022.05.015
期刊,项目驱动C语言程序设计课程教学改革与实践,王丽楠;刘付勇;乔静;邹晨;,新疆科技学院;,电脑知识与技术,C语言程序设计;;项目驱动;;教学改革;;应用实践能力,C语言程序设计是一门理论性、实践性和应用型较强的专业基础课，着重培养学生的项目实践能力、开发创新思维、算法设计能力，在产教融合背景下，将项目应用到C语言课程教学的各个环节，以学生应用实践能力培养目标为前提，逐步形成企业、高校双培养的新型培养模式，提供项目驱动-课程设计-理论教学-企业应用的递进课程体系及人才评价标准，实现学生项目实践能力质的飞越，从项目驱动课程改革的意义、课程项目融合、教学内容、教学方法、教学思想等方面进行了改革与探讨。,2022-09-15,王丽楠;,新疆维吾尔自治区教育厅本科教育教学研究和改革项目（编号：PT-2021076);; 新疆科技学院校级自科项目（编号：2020PT025),2022,18,26,157-159,G642.0;TP312.1-4,1009-3044,,10.14004/j.cnki.ckt.2022.1719
期刊,突出编程能力培养的编译原理课程教学改革,史涯晴;,陆军工程大学指挥控制工程学院;,计算机教育,编译原理;;编程能力培养;;教学改革;;函数式程序设计,针对编译原理课程教学存在的理论晦涩、实验片面和考核简单等问题，分析问题解决的关键在于突出编程能力培养，提出基于函数式程序设计语言的编译原理课程教学改革方案，并给出相应的教学实例，最后说明教学改革效果。,2022-09-10,史涯晴;,陆军工程大学教育教学课题“理论课课程思政教学方法研究”（GJ21JWZD109）,2022,,09,105-108,G642;TP314-4,1672-5913,,10.16512/j.cnki.jsjjy.2022.09.001
期刊,Python语言程序设计课程教学创新探索,张昱;陈默;李封;,东北大学计算机科学与工程学院;,科教导刊,教学改革;;Python语言;;能力培养;;程序设计教学,针对Python语言程序设计课程的特点，联系各学科培养学生应用能力的具体实际，文章从教学内容组织、教学形式、课程考核等多个方面进行了课程教学创新的改革探索。其中，提出了具有实用性的融合Python语言特征的教学方法、教学手段，并对创新效果进行了总结。课程改革在提高学生程序设计实际能力与提升专业学习信心等方面均取得了良好的效果。,2022-09-05,张昱;,"中央高校基本科研业务费专项资金资助（N2116007）;; 全国高等院校计算机基础教育研究会计算机基础教育教学研究项目(2022-AFCEC-235,2022-AFCEC-237）",2022,,25,114-116,TP312.1-4;G642,1674-6813,,10.16400/j.cnki.kjdk.2022.25.035
期刊,“教”积跬步 “学”致千里,任重;钱程;,江西省九江市同文中学;江西省九江市教科所;,新课程教学(电子版),编程教育;;应对策略;;兴趣教学;;重视实践;;创新能力,人工智能正在改变人类的生产和生活方式，未来将是人工智能和万物互联的时代，随着人工智能新算法的不断涌现，各国开始意识到编程教育的重要性。2017年，国务院颁布的《新一代人工智能发展规划》指出人工智能普及要从小做起，在中小学阶段设置人工智能相关课程，逐步推广编程教育，鼓励社会力量参与寓教于乐的编程教学软件、游戏的开发和推广，这些应用项目的落地实施，为智能机器人行业的发展提供了强大的动力。本文结合教学实践从教师的“教”和学生的“学”两个方面探讨如何克服智能机器人教学所面对的困难及采用不同对策解决这些困难，帮助家长、教师和学生理解智能机器人的重要性，让智能机器人教学冲破原有束缚，使智能机器人教学在大众化、普及化层面上跃上了一个新的台阶。,2022-08-15,任重;,,2022,,15,140-141,G633.67,2095-5081,,
期刊,以计算思维能力产出为导向的程序设计类课程教学改革,赖锦辉;,广东石油化工学院计算机学院;,工业控制计算机,计算思维;;数据结构;;算法;;能力产出,计算思维已成为各专业学生都应掌握的思维方式，与计算思维融合，是各学科学生创新的源泉。探讨以计算思维能力产出为导向的程序设计类课程教学改革，在分析教学现状的基础上，提出关于教与学的几点意见，给出了量化标准和教学改革实践，从而提升整体教学效果。,2022-07-25,赖锦辉;,2019广东省高等教育教学改革项目——以能力产出为导向的大学计算机基础课程项目教学法改革与实践（406）;; 2020广东石油化工学院教育教学改革研究项目——“Python程序设计”课程问题导向研讨式教学模式研究与实践（JY202007）;; 2021年度广东高校公共计算机课程教学改革项目项目——“Python程序设计”课程问题导向研讨式教学模式研究与实践（2021-GGJSJ-013）,2022,35,07,167-168,G642;TP311.1-4,1001-182X,,
期刊,初中生编程思维能力的培养实践,张迎娟;,东侨经济技术开发区中学;,开封文化艺术职业学院学报,初中信息技术;;Python编程教学;;编程思维能力,开展编程教育是新时代深入推进综合素养教育、培养学生编程计算思维的有效途径。优化初中信息技术教学，应积极响应“双减”教育的新要求，将编程教育作为信息技术课程教学的有机组成部分，创新开展编程教学，提升教育实效，减轻学生课业负担。基于初中编程教育的背景和现状，以Python编程教学为例，开展初中生编程思维能力的教学设计，并提出切实可行的实践路径，以期为有效开展初中生编程思维能力的培养实践提供积极参考。,2022-06-20,张迎娟;,,2022,42,06,84-86,G633.67,2096-7853,,
期刊,以实践能力为导向的程序设计课程改革,王社伟;,河南工业大学信息科学与工程学院;,福建电脑,计算机教育;;程序设计课程;;工程教育;;实践能力,程序设计课程的实践能力内涵和实践教学方法特色，对工程教育模式的开展和落地具有重要的作用。结合工程教育的基本要求，本文首先分析了程序设计课程的实践能力内涵，在此基础上，通过知识点关联重构实践教学内容，以项目驱动的实践过程改善教学方法，并设计一体化的实践教学平台加强教学过程管理。通过课程的改革，有力地促进了工程教育的推进。,2022-06-14,王社伟;,河南工业大学本科教育教学改革研究与实践项目支持(No.JXYJ-Z201916),2022,38,06,121-124,G642;TP311.1-4,1673-2782,,10.16707/j.cnki.fjpc.2022.06.031
期刊,“新工科”背景下电子信息类人才程序设计能力培养的思考,林伟铭;袁江南;,厦门理工学院光电与通信工程学院;,科技风,新工科;;电子信息;;程序设计;;教学改革,在当前科技发展现在及新工科建设的背景下，针对电子信息类人才程序设计能力培养的需求，围绕电子信息类专业的特点，分析传统程序设计课程的教学现状，并揭示了相关课程教学模式改革的必要性。同时，根据新工科和工程认证的人才培养理念，提出了结合微课视频的线上线下混合教学、以问题为导向训练学生解决复杂问题的能力、专业课程与程序设计课程间相互融合支持和课程思政等教学模式改革的方法，为培养具有高综合素质的电子信息类新工科人才打下基础。,2022-06-10,林伟铭;,2021年福建省本科高校教育教学改革研究项目“新工科背景下电子信息类人才软件创新能力培养的探索与实践”(项目编号：FBJG20210085);; 2020年福建省本科高校教育教学改革研究项目“专创融合—虚实结合打造电子信息系统综合设计课程群”(项目编号：FBJG2020 0119),2022,,16,149-151,G642;TP311.1-4,1671-7341,,10.19392/j.cnki.1671-7341.202216049
